City,State,2020census,Change,2020 population density
Carrollton,Texas,133434,+12.04%,3636
Mesa,Arizona,504258,+14.85%,3636
West Jordan,Utah,116961,+12.77%,3621
Stamford,Connecticut,135470,+10.46%,3603
Houston,Texas,2304580,+9.77%,3599
Salem,Oregon,175535,+13.51%,3597
Lakewood,Colorado,155984,+9.09%,3586
San Bernardino,California,222101,+5.80%,3577
Clinton,Michigan,100513,+3.84%,3577
Edison,New Jersey,107588,+7.62%,3574
Hayward,California,162954,+13.02%,3558
Ontario,California,175265,+6.92%,3505
Manchester,New Hampshire,115644,+5.55%,3494
Pasadena,Texas,151950,+1.95%,3477
Omaha,Nebraska,486051,+18.85%,3433
Vacaville,California,102386,+10.77%,3424
Madison,Wisconsin,269840,+15.71%,3390
Tampa,Florida,384959,+14.67%,3377
Toledo,Ohio,270871,−5.69%,3365
Roseville,California,147773,+24.40%,3351
Meridian,Idaho,117635,+56.65%,3351
Everett,Washington,110629,+7.39%,3332
Spokane,Washington,228989,+9.61%,3328
Murrieta,California,110949,+7.23%,3302
Santa Clarita,California,228673,+29.69%,3230
Arvada,Colorado,124402,+16.88%,3198
Raleigh,North Carolina,467665,+15.79%,3179
Round Rock,Texas,119468,+19.60%,3177
Phoenix,Arizona,1608139,+11.24%,3105
Mesquite,Texas,150108,+7.35%,3095
Akron,Ohio,190469,−4.34%,3077
Simi Valley,California,126356,+1.71%,3045
Carlsbad,California,114746,+8.94%,3036
Davie,Florida,105691,+14.89%,3028
Lewisville,Texas,111822,+17.35%,3022
Elgin,Illinois,114797,+6.11%,3021
Albuquerque,New Mexico,564559,+3.43%,3014
Austin,Texas,961855,+21.69%,3007
Henderson,Nevada,317610,+23.23%,2991
Nampa,Idaho,100200,+22.86%,2991
Sparks,Nevada,108445,+20.14%,2979
Lincoln,Nebraska,291082,+12.66%,2979
Chico,California,101475,+17.74%,2976
Fort Collins,Colorado,169810,+17.94%,2969
Cary,North Carolina,174721,+29.20%,2951
