Cities,Records,Median Salary
FAIR+LAWN,2,140000
UNION,2,139000
MAYFIELD+HEIGHTS,2,151869.56
WALNUT+CREEK,2,151517.5
BRANFORD,2,130000
ALAMEDA,2,136500
CORNELIUS,2,125000
TUALATIN,2,122907
ROSEMONT,2,122796.26
NOVI,2,121529.5
ELMHURST,2,120474
HEWLETT,2,150000
DRAYTON,2,120000
GAITHERSBURG,2,120000
POWELL,2,120000
HONOLULU,2,120000
LIVONIA,2,141492
SOUTH+JORDAN,2,122500
KANSAS+CITY,2,115000
FORT+COLLINS,2,112788
CARROLLTON,2,112981
ELK+GROVE+VILLAGE,2,117458.745
EAST+MEADOW,2,110000
HACKENSACK,2,110000
FITCHBURG,2,110000
ROANOKE,2,110000
ROCKVILLE,2,108434
WELDON+SPRING,2,107150
GREENSBORO,2,107825
AURORA,2,118321
LAWRENCE,2,108296.44
TORRANCE,2,106434
MARENGO,2,115488
CUMMING,2,108863
DUNWOODY,2,105760
BUFFALO,2,112486.5
MARINA+DEL+REY,2,117500
CARLISLE,2,106607
LAKE+ZURICH,2,103012
MILWAUKEE,2,105656.18
MILLIS,2,111000
WESTFORD,2,105411
MOUNT+PROSPECT,2,101605
MIDDLETON,2,100000
RIVERWOODS,2,99972
BROOMFIELD,2,104393.5
ORANGE,2,102731.5
SANFORD,2,99000
RUTHERFORD,2,99185
FAIRFAX,2,123838.5
ALEXANDRIA,2,97094
MINNETONKA,2,96090
NEW+PORT+RICHEY,2,107702
SOLON,2,112500
SPARKS,2,105000
OWINGS+MILLS,2,100750
HIGHLANDS+RANCH,2,92600
NATICK,2,125345.48
NEW+ORLEANS,2,92373
WEST+HOLLYWOOD,2,118500
SUNRISE,2,104000
BETHESDA,2,94634
GLEN+ALLEN,2,95396
FORT+MILL,2,103636
WOBURN,2,95050.08
LANSDALE,2,115000
WAUKEGAN,2,103260
VALENCIA,2,101524
ANN+ARBOR,2,100000
LOUISVILLE,2,94369
NOVATO,2,114824
ASHBURN,2,94624.5
DALY+CITY,2,89149
BRIGHTON,2,98500
AUBURN+HILLS,2,96137.5
EDMOND,2,86000
SEYMOUR,2,95958.5
LAKEVILLE,2,90989.5
ROCHESTER+HILLS,2,92744
CONCORD,2,115102.5
CORONA,2,88083.59
CEDAR+FALLS,2,85000
BUFORD,2,84500
CANTON,2,92621
BLUE+ASH,2,103388
STATE+COLLEGE,2,90425
JACKSONVILLE,2,87108
CREVE+COEUR,2,93160
